,/com/jgaap/resources/aaac/problemG/Gsample01.txt,Correct: Author02
,/com/jgaap/resources/aaac/problemG/Gsample02.txt,Correct: Author01
,/com/jgaap/resources/aaac/problemG/Gsample03.txt,Correct: Author02
,/com/jgaap/resources/aaac/problemG/Gsample04.txt,Correct: Author01
Author01,/com/jgaap/resources/aaac/problemG/Gtrain01-01.txt,
Author01,/com/jgaap/resources/aaac/problemG/Gtrain01-02.txt,
Author01,/com/jgaap/resources/aaac/problemG/Gtrain01-03.txt,
Author02,/com/jgaap/resources/aaac/problemG/Gtrain02-01.txt,
Author02,/com/jgaap/resources/aaac/problemG/Gtrain02-02.txt,
Author02,/com/jgaap/resources/aaac/problemG/Gtrain02-03.txt,
