كَتَبَ	كتب	kátaba
كَتَبَنِي	كتبني	katábani̱
كَتَبَنَا	كتبنا	katábana̱
كَتَبَكَ	كتبك	katábaka
كَتَبَكِ	كتبك	katábaki
كَتَبَكُمْ	كتبكم	katábakum
كَتَبَكُمَا	كتبكما	katabákuma̱
كَتَبَهَا	كتبها	katábaha̱
كَتَبَهُ	كتبه	katábahu
كَتَبَهُمْ	كتبهم	katábahum
كَتَبَهُمَا	كتبهما	katabáhuma̱
كَتَبَهُنَّ	كتبهن	katabahúnna
كَتَبَكُنَّ	كتبكن	katabakúnna
وَكَتَبَ	وكتب	wakátaba
وَكَتَبَنِي	وكتبني	wakatábani̱
وَكَتَبَنَا	وكتبنا	wakatábana̱
وَكَتَبَكَ	وكتبك	wakatábaka
وَكَتَبَكِ	وكتبك	wakatábaki
وَكَتَبَكُمْ	وكتبكم	wakatábakum
وَكَتَبَكُمَا	وكتبكما	wakatabákuma̱
وَكَتَبَهَا	وكتبها	wakatábaha̱
وَكَتَبَهُ	وكتبه	wakatábahu
وَكَتَبَهُمْ	وكتبهم	wakatábahum
وَكَتَبَهُمَا	وكتبهما	wakatabáhuma̱
وَكَتَبَهُنَّ	وكتبهن	wakatabahúnna
وَكَتَبَكُنَّ	وكتبكن	wakatabakúnna
فَكَتَبَ	فكتب	fakátaba
فَكَتَبَنِي	فكتبني	fakatábani̱
فَكَتَبَنَا	فكتبنا	fakatábana̱
فَكَتَبَكَ	فكتبك	fakatábaka
فَكَتَبَكِ	فكتبك	fakatábaki
فَكَتَبَكُمْ	فكتبكم	fakatábakum
فَكَتَبَكُمَا	فكتبكما	fakatabákuma̱
فَكَتَبَهَا	فكتبها	fakatábaha̱
فَكَتَبَهُ	فكتبه	fakatábahu
فَكَتَبَهُمْ	فكتبهم	fakatábahum
فَكَتَبَهُمَا	فكتبهما	fakatabáhuma̱
فَكَتَبَهُنَّ	فكتبهن	fakatabahúnna
فَكَتَبَكُنَّ	فكتبكن	fakatabakúnna
أَكَتَبَ	أكتب	ʾakátaba
أَكَتَبَنِي	أكتبني	ʾakatábani̱
أَكَتَبَنَا	أكتبنا	ʾakatábana̱
أَكَتَبَكَ	أكتبك	ʾakatábaka
أَكَتَبَكِ	أكتبك	ʾakatábaki
أَكَتَبَكُمْ	أكتبكم	ʾakatábakum
أَكَتَبَكُمَا	أكتبكما	ʾakatabákuma̱
أَكَتَبَهَا	أكتبها	ʾakatábaha̱
أَكَتَبَهُ	أكتبه	ʾakatábahu
أَكَتَبَهُمْ	أكتبهم	ʾakatábahum
أَكَتَبَهُمَا	أكتبهما	ʾakatabáhuma̱
أَكَتَبَهُنَّ	أكتبهن	ʾakatabahúnna
أَكَتَبَكُنَّ	أكتبكن	ʾakatabakúnna
أَوَكَتَبَ	أوكتب	ʾawakátaba
أَوَكَتَبَنِي	أوكتبني	ʾawakatábani̱
أَوَكَتَبَنَا	أوكتبنا	ʾawakatábana̱
أَوَكَتَبَكَ	أوكتبك	ʾawakatábaka
أَوَكَتَبَكِ	أوكتبك	ʾawakatábaki
أَوَكَتَبَكُمْ	أوكتبكم	ʾawakatábakum
أَوَكَتَبَكُمَا	أوكتبكما	ʾawakatabákuma̱
أَوَكَتَبَهَا	أوكتبها	ʾawakatábaha̱
أَوَكَتَبَهُ	أوكتبه	ʾawakatábahu
أَوَكَتَبَهُمْ	أوكتبهم	ʾawakatábahum
أَوَكَتَبَهُمَا	أوكتبهما	ʾawakatabáhuma̱
أَوَكَتَبَهُنَّ	أوكتبهن	ʾawakatabahúnna
أَوَكَتَبَكُنَّ	أوكتبكن	ʾawakatabakúnna
أَفَكَتَبَ	أفكتب	ʾafakátaba
أَفَكَتَبَنِي	أفكتبني	ʾafakatábani̱
أَفَكَتَبَنَا	أفكتبنا	ʾafakatábana̱
